,link,builtup_area,carpet_area,rooms,furnish,address,bathrooms,balcony,facing,gas_pipline,gated_community,swimming_pool,gym,intercom,power_backup,garden,sports,more_amenities,current_floor,total_floor,lease_type,property_age,covered_parking,open_parking,school,university,bus_stop,railway,mall,metro_station,hospital,restaurant,rent
865,https://housing.com/rent/18653525-1135-sqft-2.5-bhk-apartment-on-rent-in-goregaon-west-mumbai,1135,908,2.5,Semi Furnished,"Ekta Tripolis, Siddharth Nagar, Goregaon West, Mumbai",2,1,North,1,1,1,1,1,1,1,1,45,17,38,Family,2,1,0,0,1,0,0,0,1,1,0,84000
866,https://housing.com/rent/18658575-1580-sqft-3-bhk-apartment-on-rent-in-powai-mumbai,1580,1046,3,Semi Furnished,"Kanakia Silicon Valley, Krishna Nagar, Powai, Mumbai",4,1,East,1,1,1,1,1,1,1,1,31,19,24,Family  Bachelor  Company,0,2,0,1,1,0,0,0,1,1,0,135000
867,https://housing.com/rent/18683381-510-sqft-1-bhk-apartment-on-rent-in-bhandup-west-mumbai,510,425,1,Unfurnished,"Rustomjee Bella Wing C And D, Subhash Nagar, Bhandup West, Mumbai",2,0,West,0,1,1,1,1,1,1,1,43,15,25,Family,1,1,0,1,1,1,0,0,0,1,1,35000
868,https://housing.com/rent/18682347-1100-sqft-3-bhk-apartment-on-rent-in-santacruz-east-mumbai,1100,900,3,Semi Furnished,"Sanghvi Infenia, Kalina, Santacruz East, Mumbai",3,0,South-West,0,0,0,1,1,1,0,0,8,10,12,Family  Bachelor,0,1,0,1,1,0,0,0,0,1,1,140000
869,https://housing.com/rent/18644161-1000-sqft-2-bhk-apartment-on-rent-in-powai-mumbai,1000,700,2,Unfurnished,"K Raheja Vistas, Chandivali, Powai, Mumbai",2,2,East,1,1,1,1,1,1,1,1,37,5,20,Family  Bachelor  Company,8,1,0,1,1,0,0,0,1,1,0,75000
870,https://housing.com/rent/18489084-1068-sqft-2-bhk-apartment-on-rent-in-mira-road-east-mumbai,1068,710,2,Semi Furnished,"JP North Barcelona Wing D, Kashimira, Mira Road East, Mumbai",2,2,North-East,1,1,1,1,1,1,1,1,44,20,37,Family,0,1,1,1,1,0,0,0,1,1,0,38200
871,https://housing.com/rent/18682392-1100-sqft-3-bhk-apartment-on-rent-in-santacruz-east-mumbai,1100,900,3,Semi Furnished,"Sanghvi Infenia, Kalina, Santacruz East, Mumbai",3,0,South-West,1,0,0,1,1,1,0,0,9,10,12,Family  Bachelor,0,1,0,1,1,0,0,0,0,1,1,141000
872,https://housing.com/rent/18635235-985-sqft-2-bhk-apartment-on-rent-in-powai-mumbai,985,685,2,Semi Furnished,"Kanakia Silicon Valley, Krishna Nagar, Powai, Mumbai",2,0,North,1,1,1,1,1,1,1,1,31,1,24,Family,0,0,0,1,1,0,0,0,1,1,0,75000
873,https://housing.com/rent/18694057-1000-sqft-3-bhk-apartment-on-rent-in-chembur-mumbai,1000,950,3,Unfurnished,"Sidhi harmony, Tilak Nagar, Chembur, Mumbai",3,0,,0,0,0,0,0,0,0,0,0,10,11,Family,5,1,0,0,1,0,0,0,0,1,1,90000
874,https://housing.com/rent/18487686-698-sqft-1.5-bhk-apartment-on-rent-in-kanjurmarg-east-mumbai,698,537,1.5,Semi Furnished,"Runwal Bliss, Kanjurmarg East, Mumbai",1,0,North-East,0,1,1,1,1,1,1,1,65,26,50,Family  Bachelor  Company,2,1,0,1,1,0,0,0,0,1,1,48000
